Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
1986-03-13,0.05912533402442932,0.061765302393499935,0.05384661160857498,0.05384661160857498,1031788800
1986-03-14,0.06123683601617813,0.06229318788518422,0.05912534660071115,0.05912534660071115,308160000
1986-03-17,0.062293197959661484,0.06282107039889934,0.06123684591981501,0.06123684591981501,133171200
1986-03-18,0.06070898473262787,0.06282108204241477,0.06018111219555198,0.06229320950533888,67766400
1986-03-19,0.05965322628617287,0.06123684354240534,0.05912535386742872,0.060708971123661186,47894400
1986-03-20,0.058069612830877304,0.05965323019076518,0.05754174037758134,0.05965323019076518,58435200
1986-03-21,0.05648597329854965,0.059125334529000956,0.05543022880636913,0.05806959003682043,59990400
1986-03-24,0.054902371019124985,0.05648598817445019,0.05437449863401658,0.05648598817445019,65289600
1986-03-25,0.05595811456441879,0.05595811456441879,0.05437449744375896,0.05490236981731224,32083200
1986-03-26,0.05754171311855316,0.05806958532178213,0.05543022430563731,0.055958096508866274,22752000
1986-03-27,0.05859745666384697,0.05859745666384697,0.05754171227290454,0.05754171227290454,16848000
1986-03-31,0.058069612830877304,0.058597485284173266,0.05701386792428538,0.058597485284173266,12873600
1986-04-01,0.05754171311855316,0.05806958532178213,0.05754171311855317,0.05806958532178213,11088000
1986-04-02,0.058069612830877304,0.05912535773746922,0.05754174037758134,0.05754174037758134,27014400
1986-04-03,0.05859745666384697,0.060181073250260606,0.05859745666384697,0.05859745666384697,23040000
1986-04-04,0.05859745666384697,0.05912532885931818,0.05859745666384697,0.05859745666384697,26582400
1986-04-07,0.05754171311855316,0.05912532972824006,0.056485968712095234,0.058597457525011096,16560000
1986-04-08,0.058069612830877304,0.05912535773746922,0.05754174037758134,0.05754174037758134,10252800
1986-04-09,0.05912533402442932,0.05965320626601476,0.05806958954125845,0.05806958954125845,12153600
1986-04-10,0.05965322628617287,0.06018109870491703,0.058069609029940406,0.05912535386742872,13881600
1986-04-11,0.06070898473262787,0.06176533696826298,0.06018111219555198,0.06018111219555198,17222400
1986-04-14,0.06123683601617813,0.06176531553131748,0.06070896366231139,0.06070896366231139,12153600
1986-04-15,0.06123683601617813,0.06123683601617814,0.05912534660071115,0.06123683601617814,9302400
1986-04-16,0.06334894150495529,0.06387681393308403,0.060708972202953564,0.06123684463108231,31910400
1986-04-17,0.06387680023908615,0.06387680023908615,0.06334892792412342,0.06334892792412342,22003200
1986-04-18,0.061765316873788834,0.06387680633514912,0.06123683734716298,0.06387680633514912,21628800
1986-04-21,0.061765316873788834,0.06229318923912891,0.060181092616482836,0.061765316873788834,22924800
1986-04-22,0.06070898473262787,0.06176533696826298,0.06070898473262787,0.06176533696826298,15552000
1986-04-23,0.060972876846790314,0.061236815199528456,0.06018107085068136,0.060708943025104906,15609600
1986-04-24,0.06704403460025787,0.06809977923760642,0.060708959614934443,0.060972893508744595,62352000
1986-04-25,0.07126761227846146,0.07417091196947216,0.06757189930304545,0.06757189930304545,85795200
1986-04-28,0.07179547101259232,0.07232334317232907,0.07073911953206952,0.07126759885285557,28886400
1986-04-29,0.06968341767787933,0.07179551476499392,0.06915554519645552,0.07179551476499392,30326400
1986-04-30,0.06809976696968079,0.07021125586400084,0.06651615029894074,0.06968338364042083,30902400
1986-05-01,0.06704403460025787,0.06809977923760642,0.06598828996290931,0.06809977923760642,54345600
1986-05-02,0.06704403460025787,0.06809977923760642,0.0665161622815836,0.06704403460025787,20246400
1986-05-05,0.06651615351438522,0.067044025763483,0.06651615351438522,0.067044025763483,3254400
1986-05-06,0.06704403460025787,0.06809977923760642,0.06704403460025787,0.06704403460025787,9734400
1986-05-07,0.06704403460025787,0.06757190691893214,0.06598828996290931,0.06704403460025787,5155200
1986-05-08,0.06757192313671112,0.06757192313671112,0.06651617824597571,0.06704405069134342,3542400
1986-05-09,0.06704403460025787,0.06757190691893214,0.06704403460025787,0.06757190691893214,6076800
1986-05-12,0.06757192313671112,0.06915554047281423,0.06704405069134342,0.06704405069134342,10483200
1986-05-13,0.06809976696968079,0.0686276391932608,0.06757189474610077,0.06757189474610077,3830400
1986-05-14,0.06757192313671112,0.06809979558207882,0.06757192313671112,0.06809979558207882,9302400
1986-05-15,0.06757192313671112,0.06862766802744653,0.06757192313671112,0.06757192313671112,3801600
1986-05-16,0.06809976696968079,0.06968338364042083,0.06757189474610077,0.06757189474610077,11952000
1986-05-19,0.06704403460025787,0.06809977923760642,0.0665161622815836,0.06809977923760642,11001600
1986-05-20,0.06651615351438522,0.067044025763483,0.06598828126528744,0.067044025763483,61977600
1986-05-21,0.0654604434967041,0.06704406107814928,0.0654604434967041,0.06651618855100089,8092800
1986-05-22,0.0654604434967041,0.0659883160238525,0.0654604434967041,0.0654604434967041,4406400
1986-05-23,0.0654604434967041,0.06651618855100089,0.0654604434967041,0.0654604434967041,4089600
1986-05-27,0.06757192313671112,0.06757192313671112,0.0654604333552403,0.0654604333552403,13881600
1986-05-28,0.06968341767787933,0.06968341767787933,0.06757192775218406,0.06757192775218406,15523200
1986-05-29,0.07126761227846146,0.07232335679681927,0.06915551608058217,0.06968338833976107,45676800
1986-05-30,0.07390696555376053,0.07496270995754593,0.07179547674618973,0.07179547674618973,27072000
1986-06-02,0.07179547101259232,0.0739069596515393,0.07179547101259232,0.0739069596515393,19728000
1986-06-03,0.07179547101259232,0.07179547101259232,0.07073911953206952,0.07179547101259232,5011200
1986-06-04,0.07126761227846146,0.07232335679681927,0.07073913285811888,0.07179548453764036,4723200
1986-06-05,0.07232333719730377,0.07232333719730377,0.07073911368792557,0.07126759296505106,13708800
1986-06-06,0.07232333719730377,0.07232333719730377,0.07126759296505106,0.07232333719730377,3427200
1986-06-09,0.06915555149316788,0.0723233938315667,0.06915555149316788,0.0723233938315667,12672000
1986-06-10,0.06915555149316788,0.06915555149316788,0.06809980643419312,0.06915555149316788,3427200
1986-06-11,0.06915555149316788,0.06915555149316788,0.06809980643419312,0.06915555149316788,2304000
1986-06-12,0.06651615351438522,0.06915551475987414,0.06598828126528744,0.06915551475987414,13708800
1986-06-13,0.06651615351438522,0.067044025763483,0.06598828126528744,0.06651615351438522,7891200
1986-06-16,0.06598826497793198,0.06704400921554664,0.06546039285912464,0.0665161370967393,9590400
1986-06-17,0.06704403460025787,0.06809977923760642,0.0665161622815836,0.0665161622815836,13075200
1986-06-18,0.06651615351438522,0.067044025763483,0.06546040901618966,0.067044025763483,4348800
1986-06-19,0.06598826497793198,0.06704400921554664,0.06546039285912464,0.0665161370967393,8467200
1986-06-20,0.06625223904848099,0.06651617298476098,0.06598830058114628,0.06598830058114628,3801600
1986-06-23,0.06704403460025787,0.06704403460025787,0.06493254532556077,0.06625222838777343,46195200
1986-06-24,0.06651615351438522,0.06757189801258079,0.06598828126528744,0.067044025763483,14572800
1986-06-25,0.0654604434967041,0.06704406107814928,0.0654604434967041,0.06651618855100089,15235200
1986-06-26,0.06334894150495529,0.065988303645599,0.06334894150495529,0.06546043121747026,19152000
1986-06-27,0.06282103061676025,0.0638767748266738,0.062293158511803476,0.06334890272171703,10396800
